title,desc,link,country
"PortNet: ""National Single Window of Foreign Trade","Initiated in 2008 by the National Ports Agency (Port Authority in Morocco), PortNet is the result of a strategic alliance between port communities and international trade. It is a tool that is specific to the Moroccan Government which aims at implementin",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115675930300354,Morocco
NATIONAL REGISTRATION AND IDENTIFICATION SYSTEM (NRIS) OF MALAWI,"Project Goal: To ensure a permanent and continuous national registration and identification system is established in Malawi Project output: Design, establish and manage the necessary systems, infrastructure and equipment for the National Registration and",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114325003310256,Malawi
Jakarta Kini,"The JAKI platform plays an important role in the realization of a one-stop service for the Jakarta Provincial Government. The JAKI platform is able to integrate various services belonging to the Regional Government, Central Government, and Business Actor",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121992608128064,Indonesia
Interoperability Platform of the Public Administration,"The Interoperability Platform of the Public Administration (iAP) is a platform that enables the public administration to exchange data in an anonimous and secure way, providing an easy and integrated method of delivering digital multichannel services for",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115899412353983,Portugal
IFT´s Electronic One Stop Shop,"One of the most important initiatives of the regulatory improvement policy of IFT has been the design of the IFT´s Electronic One Stop Shop, which enables a digital contact point from IFT website that serves as the unique platform to attend the procedure",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112501958271642,Mexico
GOV.SA,"GOV.SA is an ambitious journey that aims to build an integrated model for providing high quality and efficient government services offered for citizens, residents, business owners or visitors. GOV.SA is: • A single point with unified digital identity tha",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16090682804893613,Saudi Arabia
e-Court,"In light of the Covid-19 situation, Qatar leveraged e-Court to ensure accessibility to justice is maintained during the social distancing period. E-Court is a paperless e-case management solution that covers the full court process lifecycle from case fil",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16109637949357214,Qatar
Gram Panchayat Development Plan,"The Ministry of Panchayati Raj (MoPR), Government of India has been advocating for holistic rural development through the Panchayati Raj system. Panchayats(rural local bodies) have been mandated for the preparation of Panchayat Development Plan (PDP) for",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121113671951102,India
Itinerant counter,"The itinerant counter is a vehicle equipped with laptops and 4G connection, that roams the country, more precisely the rural and isolated areas, in order to provide the self-employed with all their needs in term of social security, and to meet their expe",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115781939888801,Algeria
Digital Government Blueprint,The Digital Government Blueprint (DGB) sets out a vision of “digital to the core” and “serving with a heart” and there is a set of 15 public Key Performance Indicators that are to be achieved by end-2023. The DGB was first published in June 2018 and was,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16116473286509650,Singapore
Delivering eGovernment Services through the Zamboanga City GovNet,"Delivering efficient eGovernment services to the public requires fast Internet connectivity, among others. The Government Network, or simply known as GovNet, is a project of the Department of Information and Communications Technology (DICT) under the Nat",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115548659296199,"Zamboanga City,"
Citizen Video Reception Service,"General information: the requirement to organize the reception of citizens is defined by law. The citizen reception in state institutions, local government institutions is carried out by their heads and authorized persons. There is a schedule for citizen",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121817448394890,"Moscow,"
BOTSWANA EGOVERNEMENT APP,Service delivery has been a challenge to most Botswana as many have not been able to access government well on time anywhere. The has contributed to poor service Standards across government and it has impacted negatively on development to inefficiency. B,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16110725587073628,International
Buenos Aires Urbanistic Code in 3D,"CUR 3D is the first Buenos Aires city interactive and three-dimensional map that showcases precise visualizations of buildable areas, maximum admissible heights and construction surfaces, according to the new urban code in force in the city since 2019.",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115908877437309,"City of Buenos Aires,"
COVID-19 vaccination Information System,"This project supported the establishment of a state-of-the-art system for application, scheduling and tracking of vaccines and the immunization of the population of Serbia. This web-based IT system is designed to ensure optimal coordination in allocation",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121691179635477,Serbia
A blockchain technology based platform for resumption of work and production in epidemic situation,"With the COVID-19 epidemic under control, in order to meet the needs of epidemic prevention, the development of personnel-intensive social production activities needs to be approved by the epidemic prevention department and other government departments.",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114909322605182,China
1200.CO domains for entrepreneurs in Colombia,"Provide a domain name .CO, COM.CO, 3 corporate accounts associated with the selected domain name .CO, COM.CO, hosting for 1GB, and a template to create a web page- for free, during one year, to 1,200 companies in Colombia. This will help close the digita",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16120731077262448,Colombia
Citizen’s Account,Citizen’s Account (CA) is a national program that envisioned to encompass all government benefits and subsidies. CA program was built with a vision in mind to be the unified platform for government subsidy programs that would ensure that citizens are awa,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115682281331642,Saudi Arabia
"""Citizens' Electronic Appeals"" system","The project has been implemented in Shamakhi region of the Republic of Azerbaijan. The population of Shamakhi region is about 10% of the country's population. The e-appeals system provides citizens living in the area with online applications, complaints,",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114420930371335,"Shamakhi region,"
Yielding Accomplished African Women,We are West Africa's first finance and technology talent accelerator. Yielding Accomplished African Women aims at erecting and delivering the largest community of African female developers and financial analysts who are passionate about using STEM to rev,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121700811637733,Africa
WIS APP,"WIS-EU is dedicated to fostering access to all levels of society for ALL through innovation and technology. WIS-EU, in partnership with the Center for Culture and Visual Communication of the Deaf Berlin / Brandenburg e.V. (ZFK) has been developing a mobi",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115617655937910,International
Visualfy Places: Hearing Accessibility through Artificial Intelligence,"Visualfy Places is an artificial intelligence system that mimics the human sense of hearing, recognizing relevant sounds such as a fire alarm, a doorbell or a baby crying, among others, and translating them into visual and sensory alerts in any chosen co",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16113257984471011,International
We Think Digital,"The We Think Digital campaign is aimed at sensitising internet users on online safety and digital literacy. Though the sessions, the various aspects of cyber security, namely know how about technology, responsible online behaviour and security tools and",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115549999483608,India
Women in Tech Russia,"Women in Tech® is an international organization with a double mission: to close the gender gap and to help women embrace technology. The organization focuses on 4 primary areas that are a call for action: Education, Entrepreneurialism, Social Inclusion,",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121887918603155,Russian Federation
The Women Empowerment Program in Technology,"""The WOMEN EMPOWERMENT PROGRAM in ICT sector is a national program providing opportunities for all, and particularly women, sits at the heart of our plan for digitizing the Kingdom.  Target audience: All women interested in technology, employees, student",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16118399858666891,Saudi Arabia
The APT Training course on Artificial Intelligence and Big Data Analysis,"The APT Training Course on Artificial Intelligence and Big Data Analysis aims to help developing countries in the Asia-Pacific region build their ICT capabilities, facilitate their sustainable ICT talent development and improve their ICT development. Sin",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16110414257050975,Asia and Pacific
Talk to me,"An application developed for children with mute-deaf parents. Hearing children raised by deaf-mute parents, from the very moment of their birth, suffer from severe communication problems with their family or the society. Early on, there may be thoughts o",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115655701130029,Georgia
Ruta STEM para mujeres,"The Ruta STEM initiative for women, which MAKAIA has been developing since 2018, is developed from two approaches: Development of IT skills for school-age girls and adolescents (girls in technology); and strengthening of knowledge and skills in code and",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16110769824802051,"Metropolitan area of the Aburra Valley, Colombia,"
she codes; activity,she codes; is the community of female software engineers in Israel. It was established in 2013 by Ruth Polachek with a goal of reaching 50% female software engineers in the Israeli hi-tech industry. Our purpose is to improve women’s careers and livelihoo,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16119099724059751,Saudi Arabia
San Luis 4.0: Programmable Model,"San Luis is a province located in the center of the Argentine Republic, it has a territory of 76,748 km² and a population of 500,000 inhabitants. The provincial government provides free broadband connectivity to the entire population and the internet pen",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115371955220247,"San Luis province,"
MakeHER Space,"MakeHer Space project is an initiative by W.TEC, designed to teach girls to create technology and engineering-based solutions that solve problems in their communities, provide information about career options and exposes them to women working successfull",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16113487336852795,Nigeria
"MyCyberHygiene - Building Awareness, Confidence and Security in the Use of ICTs","""MyCyberHygiene builds awareness, confidence and security in the use of ICT. This project helps to counter COVID-19 amid increase in fraud, cybercrime and cyber attacks by raising cyber awareness and cyber hygiene training with a unique free online platf",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121991988344037,Argentina
Huawei DigiTruck in Kenya,"Huawei and the Belgian NGO Close the Gap have built a mobile, solar-powered classroom with the aim of bringing digital skills to under-served communities in Kenya. A converted shipping container on wheels, DigiTruck can get to where it’s needed most, rea",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16113010249039160,Kenya
Electronic agricultural cards,"Electronic agricultural cards, https://maps.agroinform.asia/krg/ru with information on Kyrgyzstan, Tajikistan and Russia, which allow solving problems: 1. optimization of agricultural production; 2. optimization of processing and trade of agricultural pr",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16122005802835482,Kyrgyzstan
Coding Academy of Jerusalem,"Coding Academy of Jerusalem is the first of its kind in East Jerusalem specialized in IT training. We built the Coding Academy of Jerusalem to get a majority of the public in East Jerusalem to learn, understand and love IT in its different fields and to",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115578317514081,Palestine
Enabling Teachers on Remote Teaching and Learning in the time of Pandemic,"The COVID-19 pandemic has affected almost all facets of our lives including how we access services in the areas of health, entertainment, commerce, and even education. The pandemic has drastically disrupted education affecting millions of learners all ov",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121630686499256,Philippines
BTC Kitsong Centres Project - empowering youth through access to ICT services,"The Kitsong Centres were established by the Government of Botswana through the Ministry of Transport and Communications, as part of Nteletsa II project to serve as avenues for providing universal access to Information and Communications Technology (ICT)",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121267551392689,Botswana
“GENDER AND TECHNOLOGY INITIATIVES” GATI - Meaning Way forward,"Information and Communication Technologies have become a powerful force for social and economic development, delivering substantial benefits for both, individuals and society. However there remains a significant digital gender gap which must be addressed",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16118460763355723,India
Robotbenchmark: a tool for teaching robotics on the web,"Robotbenchmark is a free web service allowing anybody to get his hands on 3D simulated robots. A series of about 10 robotics challenges is proposed to the visitors with an increasing difficulty. In each challenge, participants have to program a robot to",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16087220215657764,International
Our Girls Our Future,Yielding Accomplished African Women is a non-profit organization on an ambitious mission. They aim to bridge the gender economic gap in Africa by providing a college to career pipeline for young African women. They are building the largest community of A,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121704413030647,Ghana
Moscow Electronic School,"MES is a project for teachers, children, parents, creating the high-technology education environment in Moscow schools using “all-in-one” principle: the entire educational cycle is established on one digital platform. MES also helps disabled children bec",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121850038145980,Russian Federation
Mision TIC 2022,"An analysis conducted by (McKinsey & Company, 2017) indicates that, ""Colombia has a digital talent gap that would reach 160k-265k jobs in 2025, where 68k-112k would correspond to software developers."" Misión TIC 2022 is a program aimed to train 100,000 C",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16122146765553160,Colombia
"Expanding Access to High-Impact Social, Economic Education Resources across Africa during COVID-19","""Intelsat and Mindset Network NPC, an award-winning developer and distributor of educational materials in Africa, announced they have formally extended their partnership to ensure students, out-of-school youth, teachers, healthcare professionals and pati",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16107107846123889,Angola
iMlango,"iMlango is an award-winning education programme working in rural Kenyan communities. iMlango works to improve education outcomes in maths, literacy & life skills for 180,000 children in 245 schools. The programme delivers access to educational technology",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115834841296837,"Counties: Kajiado, Makueni, Uasin Gishu, Kilifi,"
k-12math.info 2021,"The K-12math.info platform helps anyone involved in elementary and secondary school mathematics by providing a non-text based computer interface to locate resources, definitions, content development, examples, practice activities, homework and enrichment",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16098154444545442,Australia
Community Connects - young leaders increase digital inclusion and ICT literacy in their communities while learning job skills,"Too many disabled, over-65, and low-income families with children attending school don’t have access to the devices or ICT training that they need to connect to online resources.     Often times, older computers, laptops and other devices requiring repai",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114607838087572,Argentina
Effects of employing an interactive educational website in developing the athletic strength of 6th grade female students in Gaza,Target group: Sixth grade students in Al-Rafidain Basic School B in the West Gaza District  Research objectives:  1- Identify the mathematical power operations to be acquired for sixth grade students in Gaza  2- Detect the effect of the interactive educa,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115134492029779,"West Gaza District ,"
Education in Network (Educação em Rede),"Nova Escola, in partnership with Facebook, carried out a number of online training courses and furthered exchange experiences on the use of technology for mediation of educational processes in a remote context. The project created a support network so th",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115814419660596,Brazil
Digital Solidarity Portal,"""The Office for Information Technologies and eGovernment launched the Digital Solidarity Portal, available at www.digitalnasolidarnost.gov.rs, intended to improve the quality of life to all those who are staying at home due to the novel coronavirus pande",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112206813282007,Serbia
Computer Shiksha,"Today we face a tremendous range of unmet needs related to health, education, food security and energy use. Having made considerable strides in improving access, efforts are now being made to improve the quality of education. As of the 2001 Census, there",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16116789013637654,Ghana
Attaa Initiative,"Technology today has great importance in our lives and in society development, as it has major role in facilitating human life and increasing efficiency, productivity as well as improving quality of life. Technology has become an indispensable foundation",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121119327694847,Saudi Arabia
AR Apps during COVID-19 pandemic for  Countrywide Elementary School Students,"The project is to provide Augmented Reality (AR)-based mobile applications to improve the quality of learning in K-6 schools during the COVID-19 pandemic, by bridging AR technology and education for more than 8,000,000 elementary students all over the co",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16102653630138785,Iran (Islamic Republic of)
Taleemabad - Making education come to life,"During school closures, education can be kept alive through digital means. Out of the 70.9 million children in Pakistan, nearly 40.4 million have access to television, and 24.5 million have latent access, i.e. digital access through a parent's mobile pho",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16110489459644904,Pakistan
I learn the same (Aprendo Igual),"The face-to-face suspension of classes worldwide due to the COVID 19 pandemic, led to the search for alternative solutions for the continuity of learning and training, based mainly on new technologies. In San Luis, we faced this challenge because we have",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115323928432113,"San Luis province,"
The UK’s Government Digital Service (GDS) support to the COVID-19 response,"GDS has been at the forefront of the UK’s response to COVID-19. Our existing services have been in high demand. They are ensuring citizens remain informed and able to access vital services. Across the digital, data, and technology function across governm",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16105272913536282,United Kingdom
Spectrum Auction 2019,In December 2019 Colombia held a pivotal spectrum auction with 4 main objectives: i) increase coverage in rural and remote areas; ii) improve quality of service for 4G services across the country; iii) foster investment and competition among mobile opera,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16116025714760347,Colombia
Data Lesson,"""Data Lesson"" is a non-profit educational project for schoolchildren, organized jointly by the leading companies of the Russian digital economy with support of the public sector. The project is the result of the mutual desire of the public and private se",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16122105367630533,Afghanistan
"Robotics, Programming and Rights for Girls","RightsTech Women (RTW) advances the human rights of girls and women in STEM through research and data visualization, advocacy and training, and technology capacity building. Its mission is to get more girls and women in STEM education and employment, who",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16116781308535046,Switzerland
Project ‘FreedomCOVID-19’,"""FreedomCOVID19 is an initiative of ZMQ. Creating awareness on COVID-19 among communities, train on Prevention, minimize Transmission and demonstrate strategy and to re-adapt existing programs for digital response to COVID. The crisis has impacted the wo",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16107250054032294,India
OneMoney Digital group lending for women MSMEs,"NetOne is a mobile network operator that has a digital financial services business as a stand alone business unit, it focuses on empowering economically the marginalised women through agency model, creation of a credit rating score to include the margina",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121040984713140,Zimbabwe
Online Services for Social Insurance,The OSSI portal is in line with the Algerian government policy aimed at ensuring good coverage of social insurance policyholders and their beneficiaries in the context of third-party payment. This system has made it possible to cover most of the health c,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115844203829643,Algeria
Light the Dark Campaign,"Within the framework of the annual international 16 Days of Activism against Gender-Based Violence Campaign and United Nations Secretary-General’s UNiTE by 2030 to End Violence against Women campaign (UNiTE campaign), UN Women Turkey launched an online a",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16117305170088444,Turkey
NATIVES COMMUNITIES OF PARAGUAY CONNECTED TO THE WORLD,"The project aims to provide coverage to indigenous communities, and populations in neighboring areas that are geographically located mostly in the western region of the country, in rural areas. In this sense, there are 13 (thirteen) indigenous communitie",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16116051966896063,Paraguay
Innovadoras TIC,"Fundación Cibervoluntarios is an international Spanish NGO, promoted in 2001 by social entrepreneurs in order to promote the use and knowledge of technology as a means to alleviate social gaps, generate social innovation and citizen empowerment, favor th",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16111517080646043,Spain
Girls in ICT Nepal,"Nepal Telecommunications Authority, being the regulator of telecom sector of the nation, has been responsible for providing connectivity throughout the nation through number of telecom service licenses and the Rural Telecommunications Development Fund be",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115735173104590,Nepal (Republic of)
KSA Free Wi-Fi,"Providing free wi-fi services to public by having public wi-fi hotspots across the cities, with an aim to improve quality of telecom services available to public in Saudi Arabia. CITC launched In partnership with key service providers to provide 60,000 F",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121776243755024,Saudi Arabia
Ensuring the Continuity of Telecommunications Services in the Age of Coronavirus,"As a result of COVID-19, almost all the activities, both professional and leisure, shifted to the online world. Consequently, data usage increased dramatically. Since many individuals and entities rely fast connection, we want to make sure that the conti",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16104481134135237,Poland
Conectar a los no Conectados,"It is a comprehensive project that will provide rural communities that are not served or with low levels of Internet penetration, living under the poverty line, access and connectivity to the quality broadband, which contributes to reducing the digital d",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16106456104977926,Dominican Republic
Bureau d'Ordre Digital,"It is a digitalization platform for the Order Office allowing administrations and public bodies to create Digital Order Offices in order to electronically manage the flow of incoming and outgoing mail. All actors (citizens, civil society, companies, admi",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16111404231593439,Morocco
Banda Ancha para Todos,"INDOTEL deployed 1,080 public access WiFi networks across the entire country. Those WiFi were deployed in all public higher education campuses, over 90% of public hospitals, all public transportation systems, public parks and plazas, public offices that",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16105605053163077,Dominican Republic
Asan Imza – Mobile ID,The development of any well-functioning information society begins with the establishment of a secure digital identity infrastructure. As the critical starting point for further digitalisation – in areas ranging from e-governance to e-trade – a functiona,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115754394521375,Azerbaijan
A digitally driven organization: E-GOV Development Center,"Established in 2018, ""E-Gov Development Center"" Public Legal Entity under the State Agency for Public Service and Social Innovations subordinate to the President of the Republic of Azerbaijan utilizes smart technologies and establishes e-government to ma",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16109719215944271,Azerbaijan
APP EDUS,"The EDUS project is the result of an initiative promulgated by Law 9162 Single Digital Health Record (EDUS) in order to establish the scope and mechanisms of action necessary for the development of the planning, financing, supply of inputs and resources",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16113465883402317,Costa Rica
All.Online,"In March, when widespread social distancing measures were introduced in Russia, millions of Russians found themselves inside their apartments, not knowing how to organize their lives, study, work, etc. Realizing the inevitability of universal self-isolat",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16122132096499193,Russian Federation
She Hacks Africa,"The Working to advance STEM Education for African women (WAAW) foundation’s She Hacks Africa Coding boot camp is a one month intensive in-person training workshop, where African youths learn software programming and then practice what they have learned i",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121139706780211,Africa
Women in Innovation Network,"EIEI Forum is a Networking & Business portal platform. Creating, nurturing, supporting, developing, utilizing all business connections between Europe – Israel.    Location – We are an NGO & Nonprofit Register in Finland as a European entity. The organiza",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121615415133150,Eastern Europe
South School on Internet Governance,"The objective of the South School on Internet Governance is to train professionals in the Americas free of charge on Internet-related issues in order to promote their participation in spaces where rules, regulations and other standards related to the Int",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16111530301561293,Latin America and the Caribbean
The WOW Dinner,"The WOW Dinner is part of an inspirational global series of networking events taking place around the globe, aims at promoting diversity and the empowerment of women in tech and related industries. We connected over 1000 women and attendees left our dinn",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16118957959656503,Canada
world internet of things convention,"Established in 2015, the WIOTC is a forward-looking and leading global conference aimed at promoting the World IoT economy and has successfully held 5 annual conferences and 100 international meetings. The goal is to make the endeavor to build the IoT an",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16105204953507927,International
The World IoT New Economy Structure Model,"The IoT economic structure model of “Visual Real-time Tracking and Tracing Plus Trade Order” developed by the Smarter Planet Internet of Things Co., Ltd is a new economy pattern that allows consumers to enjoy a visualized experience beforehand when it co",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16111998303614616,International
UAE Ministry of Finance Economic Substance Filing Portal,"The ESR Portal designed, developed, and delivered a first-of-its-kind, fully digital and web-based solution to enable companies licensed in the UAE to meet their obligations under the Economic Substance Regulations. Licensees can submit information relat",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115626102347766,Australia
Solar treatment of biomass for power generation using carbon slurries in hybrid renewable energy systems,"Electricity demand across the continent is expected to double between 2012 and 2035. Several African countries have significant fossil fuel resources in the form of coal and gas that could be used for power generation. However, Africa’s vulnerability to",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115181450417643,Uganda
Regional Digital Market strategy,"The Pacific Alliance (PA) is a regional integration mechanism with the participation of Chile, Colombia, Mexico and Peru. One of the PA objectives is to promote the development of a Regional Digital Market (RDM), the strategy seeks to enable the free flo",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121887890055338,Latin America and the Caribbean
SDG Integrated Planning and Reporting Toolkit,The Integrated Planning and Reporting Toolkit (IPRT) is a software sponsored by the ECA and developed in response to the needs of the African Member States to simultaneously adopt and integrate both the 2030 Agenda for Sustainable Development and Agenda,/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16106073564726214,Africa
Intelligent watering taking advantage of the existing irrigation installation,"Our first prototypes started working in 2016, and by the end of 2017 we started connecting to irrigation equipment to do Smart Irrigation based on the information from our irrigation algorithm. In 2018 we started to incorporate satellite images to make t",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16117575884093920,Poland
Remote Monitoring of funding using a blockchain Trusted technology,"Through sport and football in particular, the UEFA Foundation helps children and protects their fundamental rights, in particular by promoting access to health, education, health care, education sport and the integration of minorities. The Foundation is",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16118621866040591,Democratic Republic of the Congo
In-Person Event Signed By Covid-19,"Building your own ICTs environment, benefit from all available tools, be more flexible in using your resources. Upon the global developments of COVID-19, and under the social distancing requirements, The pandemic proved that all challenges could become a",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114908210644310,International
ICT for Comprehensive Community Development in Agriculture,"The overall goal of ICT4CCDA is to contribute to strengthen the agriculture knowledge eco-system in the MENA region by leading and moderating the generation and management of credible, integrated and specialized knowledge portals and agriculture ICT base",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115220733533623,Egypt
Cyber Shield 2019 Exercise,"The national CERT of Turkey (TR-CERT), held an international cyber security exercise on December 19-20th, 2019. The Cyber Shield 2019 Exercise was co-organized by the Ministry of Transport and Infrastructure, and Information and Communications Technologi",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16113192526850705,Albania
Hamdan Bin Zayed Initiative for Distance Learning in Refugee Camp School 2020,"Under directives of His Highness Sheikh Hamdan bin Zayed Al Nahyan the Emirates Red Crescent (ERC) Chairman, to implement the distance education programs in refugee camps in light of the outbreak of the Corona Covid - 19 pandemic. Therefore, the first ph",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121656377194571,Asia and Pacific
GovtechLAB Platform,"The GovtechLab Platform has been developed focusing on a key aspect of the WSIS Declaration ‘seek and effectively implement concrete international approaches and mechanisms, including financial and technical assistance’. The Platform is the first regiona",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16064932104852288,Latin America and the Caribbean
Foreign Trade Portal,"The foreign trade system is an open government information system, promoting the use of business intelligence to facilitate access to foreign trade data in support for the knowledge community. The portal offers important trade information including expor",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114850214435669,International
Digital Villages,"The reach and benefits of the internet remain limited in many developing countries due to cost, scalability, power outages and educational barriers. To help alleviate this problem, American Tower Corporation (“ATC”) is using its communications infrastruc",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115517515788723,Ghana
Global AI Summit,"The Global AI Summit, organized by the Saudi Data & AI Authority (SDAIA) and G20 Saudi Secretariat, is the world's premier platform for dialogue that brings together stakeholders from public sectors, academia and private sector, including technology comp",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114936145853237,Argentina
title,desc,link,category,country
Travel History Card,"The purpose of the Travel History Card project is to combine communication data with Bluetooth data, accurately find close contacts of patients through information technology, and further improve the accuracy of epidemic prevention and control. In WSIS A",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16112192991614608,Category 1 — AL C1. The role of governments and all stakeholders in the promotion of ICTs for development,China
WoMakersCode,"WoMakersCode is the largest technology community in Brazil, with goal to strengthen female protagonism in IT, through professional and economic development. We have 14 local groups, where we organize meetups, technology career mentoring and free training",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16115852458058974,Category 9 — AL C7. ICT applications: benefits in all aspects of life — E-learning,Brazil
WETECH Women's Innovation Center,"Launched in April 2019, WETECH (Women in Entrepreneurship and Technology) is an innovation platform and center aimed at promoting and supporting African women in the fields of technology and entrepreneurship. WETECH provides a solution to the problem of",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16110609552521444,Category 9 — AL C7. ICT applications: benefits in all aspects of life — E-learning,"Douala, Yaoundé,"
Tarassud Platform - Oman,"Tarassud+ platform is a conglomerate of heterogeneous systems, technologies and channels that generate and process data into useful actions, streamlined workflows, visuals of intervention, and monitoring impacts in response to outbreaks/pandemic. It inte",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16114848643158324,Category 10 — AL C7. ICT applications: benefits in all aspects of life — E-health,Oman
Role Management & Mining – RBAC Implementation,"stc Cybersecurity has adopted and implemented the capabilities of Identity Management Governance, which paved the road towards the enablement of role mining and management, thus helped stc to classify and managed the accesses of stc users based on their",/net4/wsis/stocktaking/Prizes/2021/DetailsPopup/16121874442941538,Category 5 — AL C5. Building confidence and security in use of ICTs,"Organization domain,"
